content_name,filesize,date_time_formatted,directory,content_type,full_link,filesize2,filesize_kb_MB
2016,,2017-02-17T20:27:00Z,/hackathon/2016/,directory,http://opendata.itsmarta.com/hackathon/2016/,,
2017,,2017-02-15T01:18:00Z,/hackathon/2017/,directory,http://opendata.itsmarta.com/hackathon/2017/,,
GTFS,,2017-01-31T23:05:00Z,/hackathon/GTFS/,directory,http://opendata.itsmarta.com/hackathon/GTFS/,,
December,,2017-02-17T20:32:00Z,/hackathon/2016/December/,directory,http://opendata.itsmarta.com/hackathon/2016/December/,,
October,,2017-02-09T21:35:00Z,/hackathon/2016/October/,directory,http://opendata.itsmarta.com/hackathon/2016/October/,,
February,,2017-02-17T21:15:00Z,/hackathon/2017/February/,directory,http://opendata.itsmarta.com/hackathon/2017/February/,,
Agency.csv,220,2016-10-27T19:07:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/Agency.csv,0.21 kb,0.21 kb
Calendar.csv,1079,2016-10-27T19:14:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/Calendar.csv,1.05 kb,1.05 kb
Calendar_Dates.csv,704,2016-10-27T19:16:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/Calendar_Dates.csv,0.69 kb,0.69 kb
Routes.csv,63944,2016-10-27T19:17:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/Routes.csv,62.45 kb,62.45 kb
Shapes.csv,80228983,2016-10-27T19:20:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/Shapes.csv,76.51 MB,76.51 MB
Stop_Times.csv,297328208,2016-10-27T19:21:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/Stop_Times.csv,283.55 MB,283.55 MB
stops.csv,4055793,2016-10-27T19:22:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/stops.csv,3.87 MB,3.87 MB
Trips.csv,9625611,2016-10-27T19:24:00Z,/hackathon/GTFS/,file,http://opendata.itsmarta.com/hackathon/GTFS/Trips.csv,9.18 MB,9.18 MB
GTFS,,2017-02-17T20:55:00Z,/hackathon/2016/December/GTFS/,directory,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/,,
GTFS,,2017-01-31T23:10:00Z,/hackathon/2016/October/GTFS/,directory,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/,,
APC,,2017-02-17T21:15:00Z,/hackathon/2017/February/APC/,directory,http://opendata.itsmarta.com/hackathon/2017/February/APC/,,
AVL_OTP,,2017-01-31T23:10:00Z,/hackathon/2017/February/AVL_OTP/,directory,http://opendata.itsmarta.com/hackathon/2017/February/AVL_OTP/,,
GTFS,,2017-02-17T20:56:00Z,/hackathon/2017/February/GTFS/,directory,http://opendata.itsmarta.com/hackathon/2017/February/GTFS/,,
Mobility_Data,,2017-02-15T19:57:00Z,/hackathon/2017/February/Mobility_Data/,directory,http://opendata.itsmarta.com/hackathon/2017/February/Mobility_Data/,,
Parking_Data,,2017-01-31T23:10:00Z,/hackathon/2017/February/Parking_Data/,directory,http://opendata.itsmarta.com/hackathon/2017/February/Parking_Data/,,
agency.csv,172,2013-08-29T21:03:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/agency.csv,0.17 kb,0.17 kb
calendar.csv,229,2013-12-12T20:37:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/calendar.csv,0.22 kb,0.22 kb
calendar_dates.csv,116,2013-12-12T20:36:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/calendar_dates.csv,0.11 kb,0.11 kb
routes.csv,4500,2013-12-12T22:55:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/routes.csv,4.39 kb,4.39 kb
shapes.csv,11440646,2013-12-15T03:02:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/shapes.csv,10.91 MB,10.91 MB
stop_times.csv,48989916,2013-12-13T19:48:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/stop_times.csv,46.72 MB,46.72 MB
stops.csv,559820,2013-12-13T18:03:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/stops.csv,546.7 kb,546.7 kb
trips.csv,1586242,2013-12-13T17:20:00Z,/hackathon/2016/December/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/December/GTFS/trips.csv,1.51 MB,1.51 MB
Agency.csv,220,2016-10-27T19:07:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/Agency.csv,0.21 kb,0.21 kb
Calendar.csv,1079,2016-10-27T19:14:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/Calendar.csv,1.05 kb,1.05 kb
Calendar_Dates.csv,704,2016-10-27T19:16:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/Calendar_Dates.csv,0.69 kb,0.69 kb
Routes.csv,63944,2016-10-27T19:17:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/Routes.csv,62.45 kb,62.45 kb
Shapes.csv,80228983,2016-10-27T19:20:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/Shapes.csv,76.51 MB,76.51 MB
Stop_Times.csv,297328208,2016-10-27T19:21:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/Stop_Times.csv,283.55 MB,283.55 MB
stops.csv,4055793,2016-10-27T19:22:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/stops.csv,3.87 MB,3.87 MB
Trips.csv,9625611,2016-10-27T19:24:00Z,/hackathon/2016/October/GTFS/,file,http://opendata.itsmarta.com/hackathon/2016/October/GTFS/Trips.csv,9.18 MB,9.18 MB
apcdata_NorthAve.csv,23085972,2017-02-17T02:53:00Z,/hackathon/2017/February/APC/,file,http://opendata.itsmarta.com/hackathon/2017/February/APC/apcdata_NorthAve.csv,22.02 MB,22.02 MB
